iter	Passed	Remaining
1351	26109	12513
1352	26129	12494
1353	26149	12476
1354	26169	12457
1355	26188	12437
1356	26207	12418
1357	26227	12399
1358	26242	12378
1359	26263	12359
1360	26282	12340
1361	26303	12321
1362	26322	12302
1363	26344	12283
1364	26366	12265
1365	26386	12246
1366	26408	12228
1367	26424	12207
1368	26444	12188
1369	26460	12168
1370	26477	12147
1371	26492	12126
1372	26513	12107
1373	26533	12088
1374	26556	12070
1375	26580	12053
1376	26603	12036
1377	26628	12019
1378	26647	11999
1379	26669	11981
1380	26696	11965
1381	26734	11954
1382	26768	11942
1383	26801	11928
1384	26832	11914
1385	26863	11900
1386	26892	11885
1387	26914	11867
1388	26937	11849
1389	26961	11831
1390	26982	11813
1391	27006	11795
1392	27025	11776
1393	27051	11759
1394	27072	11740
1395	27094	11722
1396	27117	11704
1397	27138	11686
1398	27161	11668
1399	27178	11648
1400	27200	11629
1401	27222	11611
1402	27243	11592
1403	27260	11572
1404	27281	11553
1405	27301	11534
1406	27322	11515
1407	27343	11496
1408	27365	11478
1409	27386	11459
1410	27405	11439
1411	27422	11419
1412	27447	11402
1413	27466	11382
1414	27488	11364
1415	27512	11346
1416	27531	11327
1417	27552	11308
1418	27571	11288
1419	27590	11269
1420	27610	11250
1421	27630	11231
1422	27651	11212
1423	27670	11192
1424	27690	11173
1425	27708	11153
1426	27728	11134
1427	27748	11115
1428	27766	11095
1429	27786	11075
1430	27807	11056
1431	27827	11037
1432	27846	11018
1433	27865	10998
1434	27883	10978
1435	27903	10959
1436	27923	10940
1437	27943	10921
1438	27961	10901
1439	27981	10881
1440	28005	10864
1441	28024	10844
1442	28044	10825
1443	28063	10805
1444	28088	10788
1445	28108	10769
1446	28130	10750
1447	28149	10731
1448	28166	10710
1449	28186	10691
1450	28208	10672
1451	28228	10653
1452	28245	10633
1453	28268	10615
1454	28289	10596
1455	28309	10577
1456	28329	10557
1457	28350	10538
1458	28370	10519
1459	28391	10501
1460	28413	10482
1461	28435	10463
1462	28455	10444
1463	28476	10425
1464	28497	10407
1465	28518	10388
1466	28539	10369
1467	28560	10350
1468	28580	10330
1469	28601	10312
1470	28623	10293
1471	28639	10272
1472	28655	10252
1473	28673	10232
1474	28692	10212
1475	28712	10193
1476	28731	10173
1477	28750	10154
1478	28768	10134
1479	28785	10113
1480	28804	10094
1481	28825	10075
1482	28845	10055
1483	28863	10036
1484	28883	10016
1485	28900	9996
1486	28917	9976
1487	28936	9956
1488	28958	9938
1489	28978	9918
1490	28995	9898
1491	29013	9878
1492	29034	9859
1493	29056	9841
1494	29078	9822
1495	29100	9803
1496	29119	9784
1497	29139	9765
1498	29160	9746
1499	29178	9726
1500	29198	9706
1501	29218	9687
1502	29235	9667
1503	29252	9646
1504	29271	9627
1505	29293	9608
1506	29314	9590
1507	29333	9570
1508	29350	9550
1509	29370	9530
1510	29392	9512
1511	29412	9492
1512	29432	9473
1513	29452	9454
1514	29473	9435
1515	29493	9416
1516	29512	9396
1517	29533	9377
1518	29550	9357
1519	29571	9338
1520	29589	9318
1521	29608	9298
1522	29626	9278
1523	29647	9259
1524	29666	9240
1525	29684	9220
1526	29704	9201
1527	29724	9181
1528	29746	9163
1529	29770	9145
1530	29788	9125
1531	29805	9104
1532	29822	9084
1533	29842	9065
1534	29861	9046
1535	29882	9026
1536	29901	9007
1537	29920	8987
1538	29939	8968
1539	29958	8948
1540	29977	8928
1541	29997	8909
1542	30015	8889
1543	30035	8870
1544	30054	8850
1545	30074	8831
1546	30094	8812
1547	30115	8793
1548	30134	8773
1549	30150	8753
1550	30165	8732
1551	30186	8713
1552	30205	8694
1553	30220	8673
1554	30240	8654
1555	30261	8634
1556	30281	8615
1557	30301	8596
1558	30320	8576
1559	30342	8558
1560	30359	8537
1561	30380	8519
1562	30400	8499
1563	30421	8480
1564	30441	8461
1565	30461	8442
1566	30481	8422
1567	30501	8403
1568	30518	8383
1569	30536	8363
1570	30555	8343
1571	30575	8324
1572	30595	8305
1573	30616	8286
1574	30637	8267
1575	30656	8247
1576	30674	8227
1577	30693	8208
1578	30712	8188
1579	30731	8169
1580	30752	8149
1581	30772	8130
1582	30791	8111
1583	30810	8091
1584	30832	8072
1585	30851	8053
1586	30871	8034
1587	30891	8014
1588	30910	7995
1589	30931	7976
1590	30953	7957
1591	30974	7938
1592	30990	7917
1593	31008	7898
1594	31026	7878
1595	31045	7858
1596	31067	7839
1597	31088	7820
1598	31107	7801
1599	31127	7781
1600	31146	7762
1601	31162	7742
1602	31184	7723
1603	31204	7703
1604	31223	7684
1605	31243	7664
1606	31263	7645
1607	31284	7626
1608	31303	7607
1609	31323	7587
1610	31340	7567
1611	31360	7548
1612	31379	7528
1613	31401	7509
1614	31423	7490
1615	31444	7471
1616	31465	7452
